Year,NLBorMLB,Games,PlateAppearance,AtBats,Runs,Hits,TwoBaseHits,ThreeBaseHits,HomeRuns,baseHit,RunsBattedin,StolenBases,CaughtStealing,SacrificeBunt,SacrificeFly,BasesOnBalls,IntentionalWalk,DeadBalls,Strikeouts,GetTwoTwinKilling,Average,OnBasePercentage,SluggingPercentage,OPS
2013,N,77,204,189,14,45,15,1,3,71,20,4,1,0,2,12,0,1,64,3,0.238,0.284,0.376,0.66
2014,N,87,234,212,32,58,17,1,10,107,31,1,0,0,1,21,0,0,48,4,0.274,0.338,0.505,0.842
2015,N,70,119,109,15,22,4,0,5,41,17,1,0,0,2,8,1,0,43,1,0.202,0.252,0.376,0.628
2016,N,104,382,323,65,104,18,1,22,190,67,7,2,0,4,54,2,1,98,7,0.322,0.416,0.588,1.004
2017,N,65,231,202,24,67,16,1,8,109,31,0,1,0,3,24,0,2,63,0,0.332,0.403,0.54,0.942
2018,M,104,367,326,59,93,21,2,22,184,61,10,4,0,1,37,2,2,102,2,0.285,0.361,0.564,0.925
2019,M,106,425,384,51,110,20,5,18,194,62,12,3,0,4,33,1,2,110,6,0.286,0.343,0.505,0.848
2020,M,44,175,153,23,29,6,0,7,56,24,7,1,0,0,22,0,0,50,3,0.19,0.291,0.366,0.657
2021,M,155,639,537,103,138,26,8,46,318,100,26,10,0,2,96,20,4,189,7,0.257,0.372,0.592,0.965
2022,M,157,666,586,90,160,30,6,34,304,95,11,9,0,3,72,14,5,161,6,0.273,0.356,0.519,0.875
2023,M,135,599,497,102,151,26,8,44,325,95,20,6,0,3,91,21,3,143,9,0.304,0.412,0.654,1.066
2024,M,159,731,636,134,197,38,7,54,411,130,59,4,0,5,81,10,6,162,7,0.31,0.39,0.646,1.036